"id","code","name","user_type_id/id","reconcile","chart_template_id/id","tag_ids/id"
"chart011","011","Środki trwałe","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart014","014","Maszyny i urządzenia przeznaczone do montażu","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart015","015","Środki trwałe przejęte w leasing","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart020","020","Wartości niematerialne i prawne","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart031","031","Udziały i akcje","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart033","033","Długoterminowe papiery wartościowe","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart034","034","Inne długoterminowe aktywa finansowe","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart036","036","Odpisy aktualizujące długoterminowe aktywa finans.","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart037","037","Nieruchomości i prawa będące inwest. długotermin.","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart038","038","Pozostałe inwestycje długoterminowe","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart039","039","Odp. akt. wart. nieruchom., praw i poz. inwest. dł","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart071","071","Umorzenie środków trwałych","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart073","073","Umorzenie wartości niemat. i prawnych","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart075","075","Umorzenie środków trwałych przyjętych w leasing","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart083","083","Środki trwałe w budowie","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart084","084","Rozliczenie budowy środków trwałych","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart091","091","Środki trwałe w likwidacji","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart092","092","Środki trwałe dzierżawione i w leasingu operac.","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart093","093","Śr. trw. otrzymane w nieodpłatny zarząd i użytk.","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart098","098","Obce obiekty w likwidacji","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart201","201","Rozrachunki z odbiorcami","account.data_account_type_receivable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart202","202","Rozrachunki z dostawcami","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart205","205","Zobowiązania wekslowe","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart220","220","Rozrachunki budżetowe","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart221","221","Rozrachunki z tytułu VAT","account.data_account_type_non_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart222","222","Rozliczenie naliczonego VAT","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart223","223","Rozrachunki z urzędem celnym","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart224","224","Korekta naliczonego VAT","account.data_account_type_non_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart229","229","Inne rozrachunki publicznoprawne","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart231","231","Rozrachunki z pracownikami z tytułu wynagrodzeń","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart232","232","Rozliczenie wynagrodzeń","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart234","234","Inne rozrachunki z pracownikami","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart240","240","POZOSTAŁE ROZRACHUNKI","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart242","242","Rozrachunki z tyt. zakupu niefinans. akt. trwałych","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart247","247","Inne zobowiązania finansowe","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart248","248","Należności z tytułu niedoborów i szkód","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart249","249","Inne rozrachunki","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart250","250","ROZRACHUNKI Z WŁAŚCICIELAMI","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart251","251","ROZRACHUNKI KOMORNIK, ZAJĘCIA","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart260","260","Rozrachunki z akcjonariuszami i udziałowcami","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart261","261","ROZRACHUNKI Z TYTUŁU ODSETEK","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart270","270","Odpisy aktualizujące roszczenia i należności","account.data_account_type_receivable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart294","294","Zobowiązania warunkowe","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart301","301","Rozliczenie zakupu materiałów","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
